ensembl_gene_id	chromosome_name	start_position	end_position	percentage_gene_gc_content	description
ENSG00000101421	20	33811304	33854366	46.43	charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]
ENSG00000214200	20	33912323	33913336	51.08	tropomyosin 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16556]
ENSG00000228958	20	33965162	33965576	38.8	phosphatidylinositol glycan anchor biosynthesis class P pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:45155]
ENSG00000285230	20	33980687	33994357	48.64	RALY antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50743]
ENSG00000125970	20	33993646	34108308	44.86	RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]
ENSG00000228386	20	34014969	34017749	43.91	novel transcript
ENSG00000264616	20	34049119	34049190	47.22	microRNA 4755 [Source:HGNC Symbol;Acc:HGNC:41815]
ENSG00000125977	20	34088298	34112332	42.27	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]
ENSG00000225246	20	34122470	34123290	59.81	ribosomal protein S2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16580]
ENSG00000101440	20	34194569	34269344	44.06	agouti signaling protein [Source:HGNC Symbol;Acc:HGNC:745]
ENSG00000214185	20	34213495	34215892	40.2	exportin for tRNA pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16586]
ENSG00000250917	20	34234840	34281173	44.91	novel transcript, overlapping AHCY
ENSG00000236456	20	34245953	34246537	39.32	density-regulated protein (DENR) pseudogene
ENSG00000101444	20	34280268	34311802	50.38	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]
ENSG00000272945	20	34281632	34286466	49.8	novel transcript
ENSG00000234087	20	34347671	34347785	47.83	pseudogene similar to part of laminin receptor 1 (ribosomal protein SA, 67kDa) LAMR1
ENSG00000078747	20	34363235	34511393	40.53	itchy E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13890]
ENSG00000201498	20	34384165	34384265	43.56	
ENSG00000234933	20	34402149	34402696	41.24	cell division cycle 42 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16339]
ENSG00000236388	20	34441592	34442025	47	ITCH antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40659]
ENSG00000231795	20	34450930	34454552	44.02	ITCH intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41397]
ENSG00000207997	20	34466325	34466418	32.98	microRNA 644a [Source:HGNC Symbol;Acc:HGNC:32900]
ENSG00000181741	20	34475924	34476474	54.81	ferredoxin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3640]
ENSG00000277558	20	34476205	34476787	50.6	novel transcript, sense intronic to ITCH
ENSG00000125971	20	34516409	34540958	48.33	dynein light chain roadblock-type 1 [Source:HGNC Symbol;Acc:HGNC:15468]
ENSG00000206582	20	34526510	34526606	47.42	
ENSG00000101460	20	34546854	34560345	52.56	microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]
ENSG00000101464	20	34560542	34698790	44.54	phosphatidylinositol glycan anchor biosynthesis class U [Source:HGNC Symbol;Acc:HGNC:15791]
ENSG00000231034	20	34688688	34688978	40.89	cytochrome c oxidase III (MTCO3) pseudogene
ENSG00000198646	20	34689097	34825649	43.48	nuclear receptor coactivator 6 [Source:HGNC Symbol;Acc:HGNC:15936]
ENSG00000078804	20	34704290	34713439	55.18	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]
ENSG00000225336	20	34833575	34834462	47.52	high mobility group box 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16240]
ENSG00000131067	20	34844720	34872860	49.05	gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]
ENSG00000131069	20	34872146	34927962	45.42	acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]
ENSG00000100983	20	34928433	34956027	46.44	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]
ENSG00000078814	20	34975403	35002437	57.86	myosin heavy chain 7B [Source:HGNC Symbol;Acc:HGNC:15906]
ENSG00000207635	20	34990376	34990497	59.84	microRNA 499a [Source:HGNC Symbol;Acc:HGNC:32133]
ENSG00000283441	20	34990400	34990472	50.68	microRNA 499b [Source:HGNC Symbol;Acc:HGNC:41640]
ENSG00000100991	20	35002404	35092871	42.95	transient receptor potential cation channel subfamily C member 4 associated protein [Source:HGNC Symbol;Acc:HGNC:16181]
ENSG00000202150	20	35030317	35030420	40.38	RNA, U6 small nuclear 407, pseudogene [Source:HGNC Symbol;Acc:HGNC:47370]
ENSG00000088298	20	35115357	35147364	45.82	ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877]
ENSG00000201151	20	35117136	35117207	38.89	
ENSG00000101000	20	35172073	35216240	42.85	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]
ENSG00000278367	20	35174355	35174919	57.88	novel transcript, antisense to PROCR
ENSG00000200301	20	35195306	35195423	46.61	RNA, 5S ribosomal pseudogene 483 [Source:HGNC Symbol;Acc:HGNC:43383]
ENSG00000126005	20	35201745	35278131	47.16	MMP24 opposite strand [Source:HGNC Symbol;Acc:HGNC:44421]
ENSG00000229230	20	35218009	35218185	62.15	metallothionein 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:16120]
ENSG00000125966	20	35226654	35277000	49.16	matrix metallopeptidase 24 [Source:HGNC Symbol;Acc:HGNC:7172]
ENSG00000279253	20	35262727	35264187	54.07	novel transcript
ENSG00000261582	20	35267885	35280043	56.12	novel transcript
ENSG00000242372	20	35278911	35284985	52.05	eukaryotic translation initiation factor 6 [Source:HGNC Symbol;Acc:HGNC:6159]
ENSG00000235214	20	35285251	35285756	56.72	FAM83C antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16113]
ENSG00000125998	20	35285731	35292401	58.06	family with sequence similarity 83 member C [Source:HGNC Symbol;Acc:HGNC:16121]
ENSG00000101019	20	35302566	35412141	43.02	ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:15891]
ENSG00000204183	20	35433029	35435450	55.66	growth differentiation factor 5 opposite strand [Source:HGNC Symbol;Acc:HGNC:33435]
ENSG00000125965	20	35433347	35454746	48.34	growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]
ENSG00000221763	20	35453954	35454097	41.67	microRNA 1289-1 [Source:HGNC Symbol;Acc:HGNC:35281]
ENSG00000126001	20	35455164	35519280	47.9	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]
ENSG00000230155	20	35476203	35490982	45.12	uncharacterized LOC102725201 [Source:NCBI gene;Acc:102725201]
ENSG00000242507	20	35520852	35528255	48.99	pseudogene similar to sialyltransferase proteins
ENSG00000125975	20	35523186	35529652	49.91	chromosome 20 open reading frame 173 [Source:HGNC Symbol;Acc:HGNC:16166]
ENSG00000125991	20	35542021	35557634	50.94	ERGIC and golgi 3 [Source:HGNC Symbol;Acc:HGNC:15927]
ENSG00000224497	20	35544430	35544747	55.97	ribosomal protein L36 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:16569]
ENSG00000088340	20	35558737	35607562	49.6	fer-1 like family member 4, pseudogene [Source:HGNC Symbol;Acc:HGNC:15801]
ENSG00000227401	20	35588324	35588607	47.18	ribosomal protein L37 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16337]
ENSG00000061656	20	35615892	35621049	59.4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]
ENSG00000214078	20	35626031	35664956	43.12	copine 1 [Source:HGNC Symbol;Acc:HGNC:2314]
ENSG00000272897	20	35632340	35674544	43.16	novel transcript
ENSG00000222460	20	35643143	35643462	52.5	RNA, 7SK small nuclear pseudogene 271 [Source:HGNC Symbol;Acc:HGNC:45995]
ENSG00000252549	20	35647328	35647430	39.81	RNA, U6 small nuclear 759, pseudogene [Source:HGNC Symbol;Acc:HGNC:47722]
ENSG00000244462	20	35648925	35664956	39.8	RNA binding motif protein 12 [Source:HGNC Symbol;Acc:HGNC:9898]
ENSG00000244005	20	35668055	35699359	46.45	NFS1, cysteine desulfurase [Source:HGNC Symbol;Acc:HGNC:15910]
ENSG00000125995	20	35699272	35700984	50.26	reactive oxygen species modulator 1 [Source:HGNC Symbol;Acc:HGNC:16185]
ENSG00000131051	20	35701347	35742312	40.28	RNA binding motif protein 39 [Source:HGNC Symbol;Acc:HGNC:15923]
ENSG00000225357	20	35752814	35753719	36.87	ribosome production factor 2 homolog pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16186]
ENSG00000283527	20	35769785	35769867	30.12	
ENSG00000025293	20	35771974	35950381	44.08	PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]
ENSG00000234274	20	35850674	35850915	40.91	cytochrome c oxidase subunit 7B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16601]
ENSG00000199676	20	35853252	35853364	38.05	
ENSG00000219608	20	35878476	35878733	39.92	HIG1 hypoxia inducible domain family member 1A pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:43011]
ENSG00000201221	20	35887659	35887801	37.06	RNA, U4 small nuclear 40, pseudogene [Source:HGNC Symbol;Acc:HGNC:46976]
ENSG00000207053	20	35928570	35928675	42.45	RNA, U6 small nuclear 937, pseudogene [Source:HGNC Symbol;Acc:HGNC:47900]
ENSG00000171222	20	35953617	35959472	47.71	SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566]
ENSG00000149646	20	35954564	36030700	45.62	cyclic nucleotide binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16145]
ENSG00000260032	20	36045622	36050960	41.56	non-coding RNA activated by DNA damage [Source:HGNC Symbol;Acc:HGNC:44311]
ENSG00000277235	20	36064243	36064563	56.7	novel transcript
ENSG00000234139	20	36072441	36085260	44.7	novel transcript
ENSG00000231470	20	36076018	36076601	42.98	high mobility group box 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16574]
ENSG00000237063	20	36086252	36088192	44.87	novel transcript
ENSG00000088367	20	36091504	36232799	49.98	erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378]
ENSG00000232406	20	36148726	36155760	55.21	novel transcript, antisense to EPB41L1
ENSG00000278035	20	36233851	36234297	31.1	novel transcript
ENSG00000131043	20	36236459	36270918	47.41	AAR2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:15886]
ENSG00000080845	20	36306336	36528637	51.09	DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476]
ENSG00000232907	20	36507702	36573391	49.61	DLGAP4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51223]
ENSG00000101335	20	36541484	36551447	58.63	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]
ENSG00000273986	20	36561237	36561530	53.06	
ENSG00000118707	20	36573488	36593950	51.95	TGFB induced factor homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15764]
ENSG00000259399	20	36574553	36612384	49.63	TGIF2-RAB5IF readthrough [Source:HGNC Symbol;Acc:HGNC:44664]
ENSG00000101084	20	36605734	36612557	49.21	RAB5 interacting factor [Source:HGNC Symbol;Acc:HGNC:15870]
ENSG00000101082	20	36612318	36646216	50.43	Src like adaptor 2 [Source:HGNC Symbol;Acc:HGNC:17329]
ENSG00000227688	20	36620403	36621423	45.25	heterogeneous nuclear ribonucleoprotein A3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16605]
ENSG00000101079	20	36651766	36746078	44.49	NDRG family member 3 [Source:HGNC Symbol;Acc:HGNC:14462]
ENSG00000202255	20	36668559	36668670	42.86	
ENSG00000149636	20	36751791	36773818	44.84	DSN1 homolog, MIS12 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16165]
ENSG00000149639	20	36777442	36863686	51.57	suppressor of glucose, autophagy associated 1 [Source:HGNC Symbol;Acc:HGNC:16111]
ENSG00000242509	20	36870099	36870402	55.26	RNA, 7SL, cytoplasmic 156, pseudogene [Source:HGNC Symbol;Acc:HGNC:46172]
ENSG00000101342	20	36876121	36894235	50.21	TBC/LysM-associated domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16112]
ENSG00000101347	20	36889773	36951901	43.79	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]
ENSG00000080839	20	36996349	37095995	43.07	RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]
ENSG00000231241	20	37021743	37021984	35.95	ribosomal protein S3A pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:16537]
ENSG00000226144	20	37049254	37049707	41.85	ribosomal protein S27a pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:16538]
ENSG00000269846	20	37095785	37097178	55.52	novel transcript, antisense to RBL1
ENSG00000101353	20	37101226	37179588	45.33	maestro heat like repeat family member 8 [Source:HGNC Symbol;Acc:HGNC:16125]
ENSG00000236159	20	37165774	37166312	46.01	ribosomal protein L13 (RPL13) pseudogene
ENSG00000118705	20	37178410	37241623	44.36	ribophorin II [Source:HGNC Symbol;Acc:HGNC:10382]
ENSG00000118702	20	37251082	37261835	50.88	growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]
ENSG00000101363	20	37289638	37317260	47.37	mannosidase beta like [Source:HGNC Symbol;Acc:HGNC:15799]
ENSG00000197122	20	37344685	37406050	54.1	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]
ENSG00000213979	20	37444733	37445534	51.5	ribosomal protein L7a pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:16590]
ENSG00000166619	20	37492472	37527931	47.98	BLCAP, apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:1055]
ENSG00000053438	20	37521206	37523693	54.14	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]
ENSG00000276603	20	37526642	37527060	43.68	novel transcript, sense intronic to BLCAP
ENSG00000235044	20	37530039	37530543	47.92	peptidylprolyl isomerase A pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:16545]
ENSG00000274469	20	37571103	37583935	50.7	long intergenic non-protein coding RNA 1746 [Source:HGNC Symbol;Acc:HGNC:52534]
ENSG00000228234	20	37602852	37603185	46.41	glutaredoxin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16544]
ENSG00000225759	20	37619298	37623119	47.1	long intergenic non-protein coding RNA 489 [Source:HGNC Symbol;Acc:HGNC:43426]
ENSG00000204117	20	37676910	37683234	49.3	uncharacterized LOC100287792 [Source:NCBI gene;Acc:100287792]
ENSG00000132792	20	37693955	37872129	42.04	catenin beta like 1 [Source:HGNC Symbol;Acc:HGNC:15879]
ENSG00000132821	20	37903104	37945350	54.01	V-set and transmembrane domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:16096]
ENSG00000199683	20	37975156	37975481	53.07	RNA, 7SK small nuclear pseudogene 185 [Source:HGNC Symbol;Acc:HGNC:45909]
ENSG00000101407	20	37983007	38033468	43.33	TELO2 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29029]
ENSG00000101413	20	38033546	38127780	42.38	regulation of nuclear pre-mRNA domain containing 1B [Source:HGNC Symbol;Acc:HGNC:16209]
ENSG00000264767	20	38098414	38098700	49.48	RNA, 7SL, cytoplasmic 237, pseudogene [Source:HGNC Symbol;Acc:HGNC:46253]
ENSG00000277550	20	38103524	38104961	36.79	novel transcript
ENSG00000198959	20	38127387	38166578	52.67	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]
ENSG00000149633	20	38210488	38260772	50.82	KIAA1755 [Source:HGNC Symbol;Acc:HGNC:29372]
ENSG00000277829	20	38233251	38233799	46.27	novel transcript, sense intronic to KIAA1755
ENSG00000285144	20	38260149	38304332	46.85	novel transcript
ENSG00000285347	20	38260175	38293892	45.96	uncharacterized LOC149684 [Source:NCBI gene;Acc:149684]
ENSG00000285100	20	38270778	38274020	47.98	novel transcript
ENSG00000206249	20	38288331	38326536	48.06	novel transcript
ENSG00000101425	20	38304123	38337505	48.08	bactericidal permeability increasing protein [Source:HGNC Symbol;Acc:HGNC:1095]
ENSG00000129988	20	38346356	38377023	47.09	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]
ENSG00000275285	20	38378825	38383179	50.68	novel transcript
ENSG00000224635	20	38406011	38416797	48.32	novel transcript
ENSG00000275401	20	38418483	38419202	50.69	novel transcript
ENSG00000196756	20	38420588	38435353	51.31	small nucleolar RNA host gene 17 [Source:HGNC Symbol;Acc:HGNC:48600]
ENSG00000277034	20	38421647	38421774	51.56	
ENSG00000235408	20	38425083	38425354	51.84	small nucleolar RNA, H/ACA box 71B [Source:HGNC Symbol;Acc:HGNC:10233]
ENSG00000225091	20	38427309	38427442	53.73	small nucleolar RNA, H/ACA box 71A [Source:HGNC Symbol;Acc:HGNC:10232]
ENSG00000201512	20	38429670	38429803	57.46	small nucleolar RNA, H/ACA box 71C [Source:HGNC Symbol;Acc:HGNC:32656]
ENSG00000200354	20	38433865	38433998	53.73	small nucleolar RNA, H/ACA box 71D [Source:HGNC Symbol;Acc:HGNC:32657]
ENSG00000201811	20	38442036	38442169	46.27	
ENSG00000174365	20	38446578	38450921	53.2	small nucleolar RNA host gene 11 [Source:HGNC Symbol;Acc:HGNC:25046]
ENSG00000274309	20	38448084	38448215	56.06	small nucleolar RNA, H/ACA box 71E [Source:HGNC Symbol;Acc:HGNC:32632]
ENSG00000199266	20	38449370	38449503	50.75	small nucleolar RNA, H/ACA box 60 [Source:HGNC Symbol;Acc:HGNC:32654]
ENSG00000170471	20	38472816	38578861	39.37	Ral GTPase activating protein non-catalytic beta subunit [Source:HGNC Symbol;Acc:HGNC:29221]
ENSG00000275453	20	38516563	38516632	41.43	microRNA 548o-2 [Source:HGNC Symbol;Acc:HGNC:41882]
ENSG00000231307	20	38537758	38538458	46.93	ribosomal protein S3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16603]
ENSG00000182035	20	38581195	38588463	50.47	adipogenin [Source:HGNC Symbol;Acc:HGNC:28606]
ENSG00000124143	20	38601934	38651035	48.52	Rho GTPase activating protein 40 [Source:HGNC Symbol;Acc:HGNC:16226]
ENSG00000213959	20	38614913	38615476	50.35	GINS complex subunit 2 (Psf2 homolog) (GINS2) pseudogene
ENSG00000277965	20	38711821	38712103	54.06	
ENSG00000101438	20	38724462	38729372	60.86	solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]
ENSG00000101442	20	38748442	38772520	44.84	ARP5 actin related protein 5 homolog [Source:HGNC Symbol;Acc:HGNC:14671]
ENSG00000199691	20	38761528	38761842	48.25	RNA, 7SK small nuclear pseudogene 173 [Source:HGNC Symbol;Acc:HGNC:45897]
ENSG00000101445	20	38805705	38923024	47.52	protein phosphatase 1 regulatory subunit 16B [Source:HGNC Symbol;Acc:HGNC:15850]
ENSG00000240474	20	38872770	38873074	59.67	RNA, 7SL, cytoplasmic 116, pseudogene [Source:HGNC Symbol;Acc:HGNC:46132]
ENSG00000101447	20	38926312	38953106	46.5	family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122]
ENSG00000274825	20	38955910	38956547	46.08	novel transcript
ENSG00000261431	20	38961925	38962111	55.08	novel transcript, antisense to DHX35
ENSG00000101452	20	38962299	39039723	41.33	DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861]
ENSG00000277581	20	38962472	38962993	57.47	novel transcript, sense intronic to DHX35
ENSG00000223864	20	38977711	38978422	40.59	nucleophosmin 1 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:7921]
ENSG00000230324	20	39213777	39224748	41.59	long intergenic non-protein coding RNA 1734 [Source:HGNC Symbol;Acc:HGNC:52522]
ENSG00000224357	20	39329014	39329924	39.3	autophagy related 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31123]
ENSG00000275337	20	39349094	39349392	49.83	RNA, 7SL, cytoplasmic 680, pseudogene [Source:HGNC Symbol;Acc:HGNC:46696]
ENSG00000229976	20	39785721	39813229	39.12	novel transcript
ENSG00000234878	20	39932922	39933239	35.53	heat shock protein family E (Hsp10) member 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16530]
ENSG00000237767	20	40004477	40008529	34.96	long intergenic non-protein coding RNA 1370 [Source:HGNC Symbol;Acc:HGNC:50608]
ENSG00000233415	20	40031585	40043889	32.65	novel transcript
ENSG00000223410	20	40121041	40126357	42.37	novel transcript
ENSG00000204103	20	40685848	40689240	56.44	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]
ENSG00000229771	20	40696499	40698616	45.47	novel transcript
ENSG00000238908	20	40854119	40854229	47.75	RNA, 5S ribosomal pseudogene 484 [Source:HGNC Symbol;Acc:HGNC:43384]
ENSG00000222612	20	41024205	41024394	42.11	RNA, U2 small nuclear 52, pseudogene [Source:HGNC Symbol;Acc:HGNC:48545]
ENSG00000198900	20	41028818	41124487	39.86	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]
ENSG00000226648	20	41098329	41138003	43.09	PLCG1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40450]
ENSG00000124181	20	41136960	41196801	49.84	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]
ENSG00000276169	20	41169023	41169078	64.29	microRNA 6871 [Source:HGNC Symbol;Acc:HGNC:49964]
ENSG00000174306	20	41178448	41317672	41.13	zinc fingers and homeoboxes 3 [Source:HGNC Symbol;Acc:HGNC:15935]
ENSG00000272407	20	41196647	41196938	44.18	major histocompatibility complex, class I (HLA) pseudogene
ENSG00000242748	20	41196691	41197157	44.75	ribosomal protein L23a pseudogene 81 [Source:HGNC Symbol;Acc:HGNC:36246]
ENSG00000263989	20	41290280	41290577	53.02	RNA, 7SL, cytoplasmic 615, pseudogene [Source:HGNC Symbol;Acc:HGNC:46631]
ENSG00000235102	20	41331123	41331660	46.28	acireductone dioxygenase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52339]
ENSG00000132793	20	41340920	41360582	55.11	lipin 3 [Source:HGNC Symbol;Acc:HGNC:14451]
ENSG00000183798	20	41359966	41366827	62.66	elastin microfibril interfacer 3 [Source:HGNC Symbol;Acc:HGNC:16123]
ENSG00000229398	20	41382383	41383107	36.41	novel pseudogene
ENSG00000124177	20	41402101	41618494	41.1	chromodomain helicase DNA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19057]
ENSG00000235088	20	41459354	41461944	47.74	lymphocyte antigen 6 complex, locus H (LY6H) pseudogene
ENSG00000273951	20	41485571	41486225	33.74	novel transcript, sense intronic to CHD6
ENSG00000232493	20	41547422	41547922	47.9	ribosomal protein L12 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:15835]
ENSG00000252386	20	41684986	41685091	38.68	RNA, U6 small nuclear 1018, pseudogene [Source:HGNC Symbol;Acc:HGNC:47981]
ENSG00000212224	20	41712479	41712600	38.52	
ENSG00000225458	20	41991140	42063969	43	novel transcript
ENSG00000223651	20	41997131	41999397	58.89	neurofilament heavy polypeptide 200kDa (NEFH) pseudogene
ENSG00000228959	20	42014034	42015478	41.73	novel transcript
ENSG00000196090	20	42072752	43189970	42.34	protein tyrosine phosphatase, receptor type T [Source:HGNC Symbol;Acc:HGNC:9682]
ENSG00000229892	20	42606694	42607559	38.45	pseudogene similar to part of ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein) ATP5O
ENSG00000229042	20	42685404	42688562	44.38	uncharacterized LOC101927159 [Source:NCBI gene;Acc:101927159]
ENSG00000227599	20	42968743	42971492	41.16	uncharacterized LOC101927138 [Source:NCBI gene;Acc:101927138]
ENSG00000223190	20	43063326	43063609	53.17	RNA, 7SK small nuclear pseudogene 100 [Source:HGNC Symbol;Acc:HGNC:45824]
ENSG00000233508	20	43190101	43202599	49.23	novel transcript
ENSG00000240639	20	43222206	43222509	56.25	RNA, 7SL, cytoplasmic 666, pseudogene [Source:HGNC Symbol;Acc:HGNC:46682]
ENSG00000226038	20	43230760	43231260	47.11	peptidylprolyl isomerase A pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:16246]
ENSG00000252193	20	43304555	43304679	35.2	
ENSG00000237555	20	43388642	43389041	52	pseudogene similar to part of nucleotide binding protein NBP
ENSG00000201021	20	43405473	43405578	38.68	RNA, U6 small nuclear 743, pseudogene [Source:HGNC Symbol;Acc:HGNC:47706]
ENSG00000233711	20	43423196	43423538	51.31	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16596]
ENSG00000206998	20	43451159	43451260	42.16	
ENSG00000124193	20	43457928	43464247	41.69	serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]
ENSG00000201372	20	43473013	43473119	41.12	RNA, U6 small nuclear 1251, pseudogene [Source:HGNC Symbol;Acc:HGNC:48214]
ENSG00000185513	20	43489442	43550950	48.31	L3MBTL1, histone methyl-lysine binding protein [Source:HGNC Symbol;Acc:HGNC:15905]
ENSG00000234271	20	43523261	43523572	49.36	transmembrane protein 14C (TMEM14C) pseudogene
ENSG00000277611	20	43540171	43569498	48.27	novel transcript
ENSG00000226143	20	43549389	43550949	50.35	novel transcript
ENSG00000101049	20	43558968	43588237	49.23	SGK2, serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:13900]
ENSG00000282876	20	43590009	43590596	47.45	novel transcript
ENSG00000101052	20	43590931	43647296	44.51	intraflagellar transport 52 [Source:HGNC Symbol;Acc:HGNC:15901]
ENSG00000215467	20	43652523	43653291	52.41	ribosomal protein L27a pseudogene [Source:HGNC Symbol;Acc:HGNC:16250]
ENSG00000101057	20	43667019	43716496	49.88	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]
ENSG00000124196	20	43726164	43726998	48.62	gametocyte specific factor 1 like [Source:HGNC Symbol;Acc:HGNC:16198]
ENSG00000206801	20	43796437	43796543	37.38	RNA, U6 small nuclear 639, pseudogene [Source:HGNC Symbol;Acc:HGNC:47602]
ENSG00000233277	20	43894720	43895468	46.86	long intergenic non-protein coding RNA 1728 [Source:HGNC Symbol;Acc:HGNC:52516]
ENSG00000124191	20	43914864	44069616	47.55	TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095]
ENSG00000241229	20	44007248	44007537	53.45	RNA, 7SL, cytoplasmic 443, pseudogene [Source:HGNC Symbol;Acc:HGNC:46459]
ENSG00000149596	20	44111695	44187578	48.01	junctophilin 2 [Source:HGNC Symbol;Acc:HGNC:14202]
ENSG00000132823	20	44196496	44210791	40.61	oxidative stress responsive serine rich 1 [Source:HGNC Symbol;Acc:HGNC:16105]
ENSG00000223891	20	44210960	44226027	45.91	OSER1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48585]
ENSG00000124194	20	44247099	44280917	50.31	ganglioside induced differentiation associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:4213]
ENSG00000197296	20	44302838	44311169	49.26	fat storage inducing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16135]
ENSG00000101074	20	44336986	44351235	48.37	R3H domain containing like [Source:HGNC Symbol;Acc:HGNC:16249]
ENSG00000201363	20	44344839	44344933	45.26	
ENSG00000226812	20	44347552	44355185	45.94	uncharacterized LOC105372629 [Source:NCBI gene;Acc:105372629]
